rank,case_id,score,confidence,explanation,evidence
11,C-34118,73.78,High,Observed monthly payments consistently exceeded the official recorded monthly award on the case file. Payment amounts approached or exceeded the policy monthly needs limit for a household size of 5. Payment amounts fluctuated significantly across the 6-month period while the recorded award remained constant. The case has gone 7 months without a completed review while exhibiting active payment pattern changes. Payment distribution method changed multiple times across recent months. This case has a payment pattern worth reviewing against official case documentation.,"Average monthly payment received ($2,264.25) exceeded recorded award ($1,365.62) by $898.63 per month.; Maximum payment ($2,476.31) reached 93.1% of the household needs figure ($2,660.00).; Payment volatility standard deviation was $179.85 (min payment: $1,972.93, max payment: $2,476.31).; Last formal review was completed 7 months ago (policy review interval is typically 12 months).; Payment delivery method switched 1 times between Transfer and Card."
12,C-32995,73.07,High,Observed monthly payments consistently exceeded the official recorded monthly award on the case file. Payment amounts approached or exceeded the policy monthly needs limit for a household size of 4. Payment amounts fluctuated significantly across the 6-month period while the recorded award remained constant. This case has a payment pattern worth reviewing against official case documentation.,"Average monthly payment received ($1,888.80) exceeded recorded award ($778.27) by $1,110.53 per month.; Maximum payment ($2,106.50) reached 90.4% of the household needs figure ($2,330.00).; Payment volatility standard deviation was $130.88 (min payment: $1,724.76, max payment: $2,106.50)."
13,C-33743,70.64,High,Observed monthly payments consistently exceeded the official recorded monthly award on the case file. Payment amounts approached or exceeded the policy monthly needs limit for a household size of 3. Payment amounts fluctuated significantly across the 6-month period while the recorded award remained constant. Payment distribution method changed multiple times across recent months. This case has a payment pattern worth reviewing against official case documentation.,"Average monthly payment received ($1,644.68) exceeded recorded award ($654.10) by $990.58 per month.; Maximum payment ($1,825.22) reached 91.3% of the household needs figure ($2,000.00).; Payment volatility standard deviation was $119.55 (min payment: $1,466.90, max payment: $1,825.22).; Payment delivery method switched 2 times between Transfer and Card."
14,C-32492,70.38,High,Observed monthly payments consistently exceeded the official recorded monthly award on the case file. Payment amounts approached or exceeded the policy monthly needs limit for a household size of 4. Payment amounts fluctuated significantly across the 6-month period while the recorded award remained constant. Payment distribution method changed multiple times across recent months. This case has a payment pattern worth reviewing against official case documentation.,"Average monthly payment received ($1,889.54) exceeded recorded award ($1,183.48) by $706.06 per month.; Maximum payment ($2,128.53) reached 91.4% of the household needs figure ($2,330.00).; Payment volatility standard deviation was $128.88 (min payment: $1,705.32, max payment: $2,128.53).; Payment delivery method switched 1 times between Transfer and Card."
15,C-31802,69.11,High,Observed monthly payments consistently exceeded the official recorded monthly award on the case file. Payment amounts approached or exceeded the policy monthly needs limit for a household size of 2. Payment amounts fluctuated significantly across the 6-month period while the recorded award remained constant. The case has gone 4 months without a completed review while exhibiting active payment pattern changes. Payment distribution method changed multiple times across recent months. This case has a payment pattern worth reviewing against official case documentation.,"Average monthly payment received ($1,440.82) exceeded recorded award ($820.04) by $620.78 per month.; Maximum payment ($1,563.15) reached 93.6% of the household needs figure ($1,670.00).; Payment volatility standard deviation was $114.73 (min payment: $1,223.67, max payment: $1,563.15).; Last formal review was completed 4 months ago (policy review interval is typically 12 months).; Payment delivery method switched 2 times between Transfer and Card."
16,C-33360,68.69,High,Observed monthly payments consistently exceeded the official recorded monthly award on the case file. Payment amounts approached or exceeded the policy monthly needs limit for a household size of 4. Payment amounts fluctuated significantly across the 6-month period while the recorded award remained constant. Payment distribution method changed multiple times across recent months. This case has a payment pattern worth reviewing against official case documentation.,"Average monthly payment received ($1,982.68) exceeded recorded award ($1,343.97) by $638.71 per month.; Maximum payment ($2,163.76) reached 92.9% of the household needs figure ($2,330.00).; Payment volatility standard deviation was $134.00 (min payment: $1,760.31, max payment: $2,163.76).; Payment delivery method switched 2 times between Transfer and Card."
17,C-32962,68.65,High,Observed monthly payments consistently exceeded the official recorded monthly award on the case file. Payment amounts approached or exceeded the policy monthly needs limit for a household size of 4. Payment amounts fluctuated significantly across the 6-month period while the recorded award remained constant. The case has gone 12 months without a completed review while exhibiting active payment pattern changes. Payments were issued to a case currently flagged as Suspended in the system. This case has a payment pattern worth reviewing against official case documentation.,"Average monthly payment received ($1,840.38) exceeded recorded award ($1,017.53) by $822.85 per month.; Maximum payment ($2,005.50) reached 86.1% of the household needs figure ($2,330.00).; Payment volatility standard deviation was $103.43 (min payment: $1,727.08, max payment: $2,005.50).; Last formal review was completed 12 months ago (policy review interval is typically 12 months).; Case status is registered as 'Suspended' but received 6 payments totaling $11,042.27."
18,C-32400,68.43,High,Observed monthly payments consistently exceeded the official recorded monthly award on the case file. Payment amounts approached or exceeded the policy monthly needs limit for a household size of 1. The case has gone 8 months without a completed review while exhibiting active payment pattern changes. This case has a payment pattern worth reviewing against official case documentation.,"Average monthly payment received ($1,007.67) exceeded recorded award ($405.40) by $602.27 per month.; Maximum payment ($1,162.24) reached 93.7% of the household needs figure ($1,240.00).; Last formal review was completed 8 months ago (policy review interval is typically 12 months)."
19,C-31956,67.76,High,Observed monthly payments consistently exceeded the official recorded monthly award on the case file. Payment amounts approached or exceeded the policy monthly needs limit for a household size of 1. Payment amounts fluctuated significantly across the 6-month period while the recorded award remained constant. Payment distribution method changed multiple times across recent months. This case has a payment pattern worth reviewing against official case documentation.,"Average monthly payment received ($1,035.51) exceeded recorded award ($552.70) by $482.81 per month.; Maximum payment ($1,168.77) reached 94.3% of the household needs figure ($1,240.00).; Payment volatility standard deviation was $80.53 (min payment: $927.78, max payment: $1,168.77).; Payment delivery method switched 2 times between Transfer and Card."
20,C-32671,66.79,High,Observed monthly payments consistently exceeded the official recorded monthly award on the case file. Payment amounts approached or exceeded the policy monthly needs limit for a household size of 3. Payment amounts fluctuated significantly across the 6-month period while the recorded award remained constant. The case has gone 0 months without a completed review while exhibiting active payment pattern changes. Payment distribution method changed multiple times across recent months. This case has a payment pattern worth reviewing against official case documentation.,"Average monthly payment received ($1,625.82) exceeded recorded award ($931.72) by $694.10 per month.; Maximum payment ($1,872.06) reached 93.6% of the household needs figure ($2,000.00).; Payment volatility standard deviation was $139.33 (min payment: $1,495.29, max payment: $1,872.06).; Last formal review was completed 0 months ago (policy review interval is typically 12 months).; Payment delivery method switched 1 times between Transfer and Card."
